Title,Speakers,Day,Type,Place,Start,End
Python para calentar tu casa,Héctor Pablos López,sabado,Charla,Sala Eventbrite,11:30,12:10
Sistemas de Recomendación con Surprise,Antonio David Pérez/Rafa Haro,sabado,Charla,Salón Microsoft,11:30,12:10
Fragmentar y dearticular redes de crimen. Topología y debilidad de redes,Juan Carlos González-Avella,sabado,Charla,Sala Ilion Animation,11:30,12:10
Big Data en live coding,Guillem Borrel,sabado,Charla,Sala PSF,11:30,12:10
Microservice and Serverless Applications with Python: Challenges and opportunities,Nilo Ney Coutinho Menezes,sabado,Charla,Sala Universidad de Alicante,11:30,12:10
Creando aplicaciones con micropython,José Laica,sabado,Taller,Taller 1,11:30,13:45
Aprendiendo como aprenden las máquinas,Jordi Contesti/Francisco Correoso/Guillem Duran/Juan Carlos González/Antonio Tugores,sabado,Taller,Taller 2,11:30,13:45
Tamarco: un framework de microservicios,José Melero Fernández,sabado,Charla,Sala Eventbrite,12:10,12:30
Drivers en Python o cómo encender luces de colores en un teclado cuando recibo un email,Javier Torres,sabado,Charla,Salón Microsoft,12:10,12:30
Exceptional exceptions,Mario Corchero,sabado,Charla,Sala Ilion Animation,12:10,12:30
Optimización de una red de evaporadores industriales,María Marcos,sabado,Charla,Sala PSF,12:10,12:50
Patrocinada,Ilion Animation Studios,sabado,Charla,Sala Universidad de Alicante,12:10,12:50
Dynamic Optimization and Process Control in Python,Francisco Navarro-Brull,sabado,Charla,Sala PSF,12:50,13:30
Securizando nuestro código python,Víctor Torre,sabado,Charla,Sala Universidad de Alicante,12:50,13:30
qVista: sistema de información territorial del Ayto. de BCN desarrollado en PyQGis,Jordi Cebrian/Noemi Rodríguez,sabado,Charla,Sala Ilion Animation,12:50,13:30
Desarrollo Industrial de sistemas embedidos con Python/Django y Raspberry Pi,José A. Rocamonde,sabado,Charla,Salón Microsoft,12:50,13:30
Microservicios altamente paralelos para todos,Alberto Fernández Valiente,sabado,Charla,Sala Eventbrite,12:50,13:30
Service Oriented Architecture with PySOA,Jorge Barata,sabado,Charla,Sala Eventbrite,13:30,13:50
When code is not enough,Juan Ernesto Biondi Pérez,sabado,Charla,Salón Microsoft,13:30,13:50
f-strings:A format system to rule them all,Juan Diego Godoy Robles,sabado,Charla,Sala Ilion Animation,13:30,13:50
Nariz electrónica para la detección de defectos del café con Python,Katerine Perdomo Moreno,sabado,Charla,Sala PSF,13:30,13:50
Patrocinada,Travelperk,sabado,Charla,Sala Universidad de Alicante,13:30,13:50
Creando un Deep-bot from scratch,Edgar Pérez Sampedro/Javier Jiménez del Peso,sabado,Taller,Taller 1,15:30,17:50
Organizando chistes con NLP,Julio Martínez,sabado,Taller,Taller 2,15:30,17:50
Odisea en el lodo:divertida historia sobre heredar un proyecto legacy con gran tech debt y estar alone,Miguel Jiménez,sabado,Charla,Sala Eventbrite,15:30,16:10
Objetos Hashables,Víctor Terrón,sabado,Charla,Salón Microsoft,15:30,16:10
Mom I want to be a data artist,Alberto Romeu,sabado,Charla,Sala Ilion Animation,15:30,16:10
Haciendo una galaxia con python: méritos y obstáculos en modelos de programación probabilística,Vital Fernández,sabado,Charla,Sala PSF,15:30,16:10
Using Pypi and docopt to create and share command lines,Tony Aldon,sabado,Charla,Sala Universidad de Alicante,15:30,16:10
Usando Flask en el mundo real: extensiones y buenas prácticas,Juan José Lozano Gómez,sabado,Charla,Sala Eventbrite,16:10,16:30
Patrocinada,Trustyou,sabado,Charla,Salón Microsoft,16:10,16:30
